date,TJ,SJZ,TS,QHD,HD,BD,ZJK,CD,LF,BJ
2015/1/1 0:00,0,0,0,0,0,0,0,0,0,0
2015/1/1 3:00,0,0,0,0,0,0,0,0,0,0
2015/1/1 6:00,0,0,0,0,0,0,0,0,0,0
2015/1/1 9:00,0,0,0,0,0,0,0,0,0,0
2015/1/1 12:00,0,0,0,0,0,0,0,0,0,0
2015/1/1 15:00,0,0,0,0,0,0,0,0,0,0
2015/1/1 18:00,108,154,113,77,129,242,20,57,101,77
2015/1/1 21:00,147,149,123,67,152,295,30,21,101,24
2015/1/2 0:00,71,122,37,41,136,237,24,20,19,11
2015/1/2 3:00,33,126,53,35,134,188,34,39,11,19
2015/1/2 6:00,20,92,25,17,151,43,11,8,13,17
2015/1/2 9:00,34,111,26,27,112,87,10,6,21,65
2015/1/2 12:00,31,125,67,30,146,160,93,49,61,87
2015/1/2 15:00,45,186,68,52,164,234,81,53,120,115
2015/1/2 18:00,63,183,52,64,174,282,53,54,112,132
2015/1/2 21:00,86,171,69,57,140,221,35,47,111,136
2015/1/3 0:00,106,196,98,82,133,319,54,43,103,141
2015/1/3 3:00,151,198,142,107,156,323,77,52,134,125
2015/1/3 6:00,204,198,166,89,158,250,64,44,177,138
2015/1/3 9:00,243,248,178,166,122,246,66,78,182,144
2015/1/3 12:00,319,264,230,215,178,397,124,125,194,191
2015/1/3 15:00,366,376,228,187,179,509,84,128,189,203
2015/1/3 18:00,359,365,230,182,224,556,73,125,194,204
2015/1/3 21:00,359,365,230,182,224,556,73,125,194,204
2015/1/4 0:00,359,365,230,182,224,556,73,125,194,204
2015/1/4 3:00,359,365,230,182,224,556,73,125,194,204
2015/1/4 6:00,355,410,242,55,379,261,50,95,193,111
2015/1/4 9:00,334,336,112,70,359,308,73,96,192,128
2015/1/4 12:00,356,371,108,91,399,567,172,106,277,238
2015/1/4 15:00,299,393,117,74,394,563,145,105,261,229
2015/1/4 18:00,158,388,123,61,372,510,99,116,143,188
2015/1/4 21:00,157,408,120,63,375,313,64,80,136,171
2015/1/5 0:00,155,350,174,87,394,286,44,93,107,165
2015/1/5 3:00,143,300,176,125,422,222,43,108,153,150
2015/1/5 6:00,161,257,144,176,355,219,29,21,116,32
2015/1/5 9:00,77,241,68,81,319,248,11,11,10,11
2015/1/5 12:00,19,84,34,50,218,49,19,9,10,10
2015/1/5 15:00,16,39,24,24,119,29,19,20,4,5
2015/1/5 18:00,11,40,18,41,61,45,29,11,3,12
2015/1/5 21:00,8,32,16,18,43,49,32,16,16,17
2015/1/6 0:00,10,46,19,12,21,79,29,27,9,20
2015/1/6 3:00,16,61,45,30,17,87,33,30,19,17
2015/1/6 6:00,18,48,22,18,20,31,10,8,15,21
2015/1/6 9:00,43,78,18,21,24,50,17,8,36,36
2015/1/6 12:00,69,77,65,55,41,109,47,33,58,80
2015/1/6 15:00,79,65,92,69,46,139,35,31,80,105
2015/1/6 18:00,99,102,108,59,79,149,32,30,110,98
2015/1/6 21:00,117,125,139,54,85,154,30,32,127,43
2015/1/7 0:00,140,128,131,28,75,195,32,43,125,26
2015/1/7 3:00,133,164,80,33,82,188,34,40,132,50
2015/1/7 6:00,47,138,43,30,77,87,12,18,59,46
2015/1/7 9:00,18,143,45,30,69,129,24,14,40,56
2015/1/7 12:00,19,153,48,36,82,242,74,53,57,76
2015/1/7 15:00,21,181,44,67,143,291,63,71,45,89
2015/1/7 18:00,21,147,76,62,137,397,43,55,40,82
2015/1/7 21:00,39,134,101,51,266,428,37,50,57,115
2015/1/8 0:00,81,172,83,62,199,279,49,50,79,118
2015/1/8 3:00,138,205,62,88,294,243,60,47,149,99
2015/1/8 6:00,170,130,98,98,183,255,21,57,189,137
2015/1/8 9:00,192,172,148,135,170,296,19,75,161,165
2015/1/8 12:00,264,192,225,120,178,401,58,93,190,185
2015/1/8 15:00,272,230,236,66,215,495,41,92,262,226
2015/1/8 18:00,319,248,214,125,257,474,21,72,298,164
2015/1/8 21:00,304,247,246,117,182,651,26,18,241,57
2015/1/9 0:00,170,183,213,116,187,427,32,30,29,15
2015/1/9 3:00,43,173,126,154,185,523,37,29,14,16
2015/1/9 6:00,17,188,31,59,231,310,12,11,9,12
2015/1/9 9:00,18,159,27,52,272,215,12,9,4,11
2015/1/9 12:00,30,197,53,83,299,294,73,17,28,57
2015/1/9 15:00,76,193,63,59,278,261,51,53,133,218
2015/1/9 18:00,118,250,65,48,225,350,37,48,147,193
2015/1/9 21:00,121,257,134,50,189,311,28,44,165,169
2015/1/10 0:00,193,249,147,113,156,309,32,42,204,144
2015/1/10 3:00,278,275,215,163,103,198,48,43,257,153
2015/1/10 6:00,223,90,220,127,100,45,17,35,185,104
2015/1/10 9:00,160,77,120,90,22,36,15,42,110,74
2015/1/10 12:00,181,108,208,84,86,119,27,93,155,177
2015/1/10 15:00,176,147,290,53,137,216,27,14,203,121
2015/1/10 18:00,184,159,86,77,179,313,34,13,46,9
